date,discharge
1/4/2011,5.22504
1/5/2011,5.01264
1/6/2011,4.8852
1/7/2011,4.779
1/8/2011,4.75776
1/9/2011,4.75776
1/10/2011,4.80024
1/11/2011,4.84272
1/12/2011,4.82148
1/13/2011,4.75776
1/14/2011,4.71528
1/15/2011,5.05512
1/16/2011,5.96844
1/17/2011,7.2216
1/18/2011,10.45008
1/19/2011,20.56032
1/20/2011,17.0982
1/21/2011,13.55112
1/22/2011,10.13148
1/23/2011,8.2836
1/24/2011,7.34904
1/25/2011,6.83928
1/26/2011,6.20208
1/27/2011,5.64984
1/28/2011,5.26752
1/29/2011,5.01264
1/30/2011,4.84272
1/31/2011,4.73652
1/1/2012,6.0888
1/2/2012,5.69232
1/3/2012,5.96844
1/4/2012,5.9472
1/5/2012,5.64984
1/6/2012,5.37372
1/7/2012,5.14008
1/8/2012,4.8852
1/9/2012,4.779
1/10/2012,6.20208
1/11/2012,6.03216
1/12/2012,6.06048
1/13/2012,5.97552
1/14/2012,5.97552
1/15/2012,5.9472
1/16/2012,6.03216
1/17/2012,6.06048
1/18/2012,6.06048
1/19/2012,6.06048
1/20/2012,5.97552
1/21/2012,6.03216
1/22/2012,6.00384
1/23/2012,6.06048
1/24/2012,6.06048
1/25/2012,6.00384
1/26/2012,5.9472
1/27/2012,5.97552
1/28/2012,5.97552
1/29/2012,6.00384
1/30/2012,6.11712
1/31/2012,6.0888
1/1/2013,5.60736
1/2/2013,5.57904
1/3/2013,5.5224
1/4/2013,5.5224
1/5/2013,5.5224
1/6/2013,5.5224
1/7/2013,5.5224
1/8/2013,5.46576
1/9/2013,5.43744
1/10/2013,5.3808
1/11/2013,5.3808
1/12/2013,5.32416
1/13/2013,5.35248
1/14/2013,5.3808
1/15/2013,5.40912
1/16/2013,5.3808
1/17/2013,5.43744
1/18/2013,5.3808
1/19/2013,5.32416
1/20/2013,5.32416
1/21/2013,5.29584
1/22/2013,5.32416
1/23/2013,5.26752
1/24/2013,5.29584
1/25/2013,5.3808
1/26/2013,5.91888
1/27/2013,107.4744
1/28/2013,220.896
1/29/2013,60.3216
1/30/2013,20.41164
1/31/2013,13.6998
1/1/2014,4.75776
1/2/2014,4.75776
1/3/2014,4.73652
1/4/2014,4.71528
